Assumption ID,Assumption Plain Text,Functional Area ID,Subgroup,Subgroup Variable Name,Metric,Assumption Category,Type,Unit,Value,Scope,Derivation,Source,Notes
AE_ADULT_MINOR_LOS,Time spent in an adult minors space,BAYS_AE,adult minor,adult_minor_attendances,Length of stay,workload,duration,minutes,60,subgroup,,,
AE_ADULT_MINOR_UTIL,Utilisation rate of adult minors,BAYS_AE,adult minor,adult_minor_attendances,Utilisation rate,operational,proportion,percentage,0.5,subgroup,,,
AE_BAYS_ANNUAL_OPERATIONAL_HOURS,Annual operational hours of A&E bay spaces,BAYS_AE,all groups,,Annual operational hours,operational,duration,hours,8760,functional area,24 hours/day × 365 days/year,,
AE_CHILD_MINOR_LOS,Time spent in a child minors space,BAYS_AE,child minor,child_minor_attendances,Length of stay,workload,duration,minutes,60,subgroup,,,
AE_CHILD_MINOR_UTIL,Utilisation rate of child minors,BAYS_AE,child minor,child_minor_attendances,Utilisation rate,operational,proportion,percentage,0.5,subgroup,,,
AE_ADULT_MAJOR_LOS,Time spent in an adult majors space,BEDS_AE,adult major,adult_major_attendances,Length of stay,workload,duration,minutes,240,subgroup,,,
AE_ADULT_MAJOR_UTIL,Utilisation rate of adult majors,BEDS_AE,adult major,adult_major_attendances,Utilisation rate,operational,proportion,percentage,0.5,subgroup,,,
AE_BEDS_ANNUAL_OPERATIONAL_HOURS,Annual operational hours of A&E bed spaces,BEDS_AE,all groups,,Annual operational hours,operational,duration,hours,8760,functional area,24 hours/day × 365 days/year,,
AE_CHILD_MAJOR_LOS,Time spent in a child majors space,BEDS_AE,child major,child_major_attendances,Length of stay,workload,duration,minutes,240,subgroup,,,
AE_CHILD_MAJOR_UTIL,Utilisation rate of child majors,BEDS_AE,child major,child_major_attendances,Utilisation rate,operational,proportion,percentage,0.5,subgroup,,,
AE_RESUS_LOS,Time spent in a resuscitation space,BEDS_AE,resuscitation,resus_attendances,Length of stay,workload,duration,minutes,240,subgroup,,,
AE_RESUS_UTIL,Utilisation rate of resuscitation,BEDS_AE,resuscitation,resus_attendances,Utilisation rate,operational,proportion,percentage,0.5,subgroup,,,
CRITICAL_CARE_ADULT_OCC,Occupancy rate in adult critical care,BEDS_CRITICAL_CARE,adult,,Occupancy rate,operational,proportion,percentage,0.7,subgroup,,,
CRITICAL_CARE_ADULT_PERCENT_OVERNIGHT_BED_DAYS,Proportion of inpatient overnight bed-days that are in adult critical care,BEDS_CRITICAL_CARE,adult,,Proportion of inpatient overnight bed-days,other,proportion,percentage,0.03,subgroup,,,
CRITICAL_CARE_ANNUAL_OPERATIONAL_DAYS,Days per year that critical care is operational,BEDS_CRITICAL_CARE,all groups,,Annual operational days,operational,duration,days,365,functional area,,,
CRITICAL_CARE_NEONATAL_OCC,Occupancy rate in neonatal critical care,BEDS_CRITICAL_CARE,neonatal,,Occupancy rate,operational,proportion,percentage,0.7,subgroup,,,
CRITICAL_CARE_NEONATAL_PERCENT_OVERNIGHT_BED_DAYS,Proportion of inpatient overnight bed-days that are in neonatal critical care,BEDS_CRITICAL_CARE,neonatal,,Proportion of inpatient overnight bed-days,other,proportion,percentage,1,subgroup,,,
CRITICAL_CARE_PAEDIATRIC_OCC,Occupancy rate in paediatric critical care,BEDS_CRITICAL_CARE,paediatric,,Occupancy rate,operational,proportion,percentage,0.7,subgroup,,,
CRITICAL_CARE_PAEDIATRIC_PERCENT_OVERNIGHT_BED_DAYS,Proportion of inpatient overnight bed-days that are in paediatric critical care,BEDS_CRITICAL_CARE,paediatric,,Proportion of inpatient overnight bed-days,other,proportion,percentage,0.03,subgroup,,,
DAYCASE_ENDOSCOPY_RECOVERY_ANNUAL_OPERATIONAL_HOURS,Hours per year that day case endoscopy recovery is operational,BEDS_DAYCASE_ENDOSCOPY_RECOVERY,all groups,,Annual operational hours,operational,duration,hours,4032,functional area,14 hours/day × 6 days/week × 48 weeks/year,,
DAYCASE_ENDOSCOPY_RECOVERY_LOS,Duration of stay in day case endoscopy recovery,BEDS_DAYCASE_ENDOSCOPY_RECOVERY,all groups,,Length of stay,workload,duration,hours,7,functional area,,,
