functional_area,subgroup,classification_ids,workload_assumptions,formula_id,operational_assumptions,capacity_output
BAYS_AE,adult minor,"CLASS_AE, CLASS_AGE_ADULT, CLASS_AE_MINOR",AE_ADULT_MINOR_LOS,FRM_FLOW_SPACE,"AE_ADULT_MINOR_UTIL, AE_BAYS_ANNUAL_OPERATIONAL_HOURS",ADULT_MINOR_AE_BAYS
BAYS_AE,child minor,"CLASS_AE, CLASS_AGE_CHILD, CLASS_AE_MINOR",AE_CHILD_MINOR_LOS,FRM_FLOW_SPACE,"AE_CHILD_MINOR_UTIL, AE_BAYS_ANNUAL_OPERATIONAL_HOURS",CHILD_MINOR_AE_BAYS
BEDS_AE,adult major,"CLASS_AE, CLASS_AGE_ADULT, CLASS_AE_MAJOR",AE_ADULT_MAJOR_LOS,FRM_FLOW_SPACE,"AE_ADULT_MAJOR_UTIL, AE_BEDS_ANNUAL_OPERATIONAL_HOURS",ADULT_MAJOR_AE_BEDS
BEDS_AE,child major,"CLASS_AE, CLASS_AGE_CHILD, CLASS_AE_MAJOR",AE_CHILD_MAJOR_LOS,FRM_FLOW_SPACE,"AE_CHILD_MAJOR_UTIL, AE_BEDS_ANNUAL_OPERATIONAL_HOURS",CHILD_MAJOR_AE_BEDS
BEDS_AE,resus,"CLASS_AE, CLASS_AE_RESUS",AE_RESUS_LOS,FRM_FLOW_SPACE,"AE_RESUS_UTIL, AE_BEDS_ANNUAL_OPERATIONAL_HOURS",RESUS_AE_BEDS
SPACES_SDEC,all groups,CLASS_SDEC,SDEC_SPACES_LOS,FRM_FLOW_SPACE,"SDEC_SPACES_UTIL, SDEC_SPACES_ANNUAL_OPERATIONAL_HOURS",SDEC_SPACES
ROOMS_OP_CONSULT,first attendance,"CLASS_OP_ATTEND, CLASS_OP_FACE_TO_FACE, CLASS_OP_FIRST","OP_CONSULT_FIRST_TIME, OP_CONSULT_FIRST_DNA_RATE, OP_CONSULT_FIRST_DNA_TIME",FRM_APPOINTMENT_UTIL,"OP_CONSULT_UTIL, OP_CONSULT_ANNUAL_OPERATIONAL_HOURS",FIRST_OP_CONSULT_ROOMS
ROOMS_OP_CONSULT,follow-up attendance,"CLASS_OP_ATTEND, CLASS_OP_FACE_TO_FACE, CLASS_OP_FOLLOW_UP","OP_CONSULT_FOLLOW_UP_TIME, OP_CONSULT_FOLLOW_UP_DNA_RATE, OP_CONSULT_FOLLOW_UP_DNA_TIME",FRM_APPOINTMENT_UTIL,"OP_CONSULT_UTIL, OP_CONSULT_ANNUAL_OPERATIONAL_HOURS",FOLLOW_UP_OP_CONSULT_ROOMS
ROOMS_OP_VIRTUAL_CONSULT,all groups,"CLASS_OP_ATTEND, CLASS_OP_VIRTUAL","OP_VIRTUAL_CONSULT_TIME, OP_VIRTUAL_CONSULT_DNA_RATE, OP_VIRTUAL_CONSULT_DNA_TIME",FRM_APPOINTMENT_UTIL,"OP_VIRTUAL_CONSULT_UTIL, OP_VIRTUAL_CONSULT_ANNUAL_OPERATIONAL_HOURS",OP_VIRTUAL_CONSULT_ROOMS
ROOMS_OP_PROC,all groups,"CLASS_OP_ATTEND, CLASS_HAS_PROCEDURE","OP_PROC_TIME, OP_PROC_DNA_RATE, OP_PROC_DNA_TIME",FRM_APPOINTMENT_UTIL,"OP_PROC_UTIL, OP_PROC_ANNUAL_OPERATIONAL_HOURS",OP_PROC_ROOMS
BEDS_DAYCASE_RECOVERY,Adult medical,"CLASS_DAYCASE, CLASS_AGE_ADULT, CLASS_MEDICAL",DAYCASE_RECOVERY_ADULT_MEDICAL_LOS,FRM_RECOVERY_OCCUPANCY,"DAYCASE_RECOVERY_ADULT_MEDICAL_OCC, DAYCASE_RECOVERY_ANNUAL_OPERATIONAL_HOURS",ADULT_MEDICAL_DAYCASE_RECOVERY_BEDS
BEDS_DAYCASE_RECOVERY,Adult surgical,"CLASS_DAYCASE, CLASS_AGE_ADULT, CLASS_SURGICAL",DAYCASE_RECOVERY_ADULT_SURGICAL_LOS,FRM_RECOVERY_OCCUPANCY,"DAYCASE_RECOVERY_ADULT_SURGICAL_OCC, DAYCASE_RECOVERY_ANNUAL_OPERATIONAL_HOURS",ADULT_SURGICAL_DAYCASE_RECOVERY_BEDS
BEDS_DAYCASE_RECOVERY,Paediatric medical,"CLASS_DAYCASE, CLASS_AGE_CHILD, CLASS_MEDICAL",DAYCASE_RECOVERY_PAEDIATRIC_MEDICAL_LOS,FRM_RECOVERY_OCCUPANCY,"DAYCASE_RECOVERY_PAEDIATRIC_MEDICAL_OCC, DAYCASE_RECOVERY_ANNUAL_OPERATIONAL_HOURS",PAEDIATRIC_MEDICAL_DAYCASE_RECOVERY_BEDS
BEDS_DAYCASE_RECOVERY,Paediatric surgical,"CLASS_DAYCASE, CLASS_AGE_CHILD, CLASS_SURGICAL",DAYCASE_RECOVERY_PAEDIATRIC_SURGICAL_LOS,FRM_RECOVERY_OCCUPANCY,"DAYCASE_RECOVERY_PAEDIATRIC_SURGICAL_OCC, DAYCASE_RECOVERY_ANNUAL_OPERATIONAL_HOURS",PAEDIATRIC_SURGICAL_DAYCASE_RECOVERY_BEDS
BEDS_DAYCASE_ENDOSCOPY_RECOVERY,All groups,"CLASS_DAYCASE, CLASS_ENDOSCOPY",DAYCASE_ENDOSCOPY_RECOVERY_LOS,FRM_RECOVERY_OCCUPANCY,"DAYCASE_ENDOSCOPY_RECOVERY_OCC, DAYCASE_ENDOSCOPY_RECOVERY_ANNUAL_OPERATIONAL_HOURS",DAYCASE_ENDOSCOPY_RECOVERY_BEDS
ROOMS_ENDOSCOPY_PROC,All groups,"CLASS_DAYCASE, CLASS_ENDOSCOPY",ENDOSCOPY_PROC_TIME,FRM_TIME_UTIL,"ENDOSCOPY_PROC_UTIL, ENDOSCOPY_PROC_ANNUAL_OPERATIONAL_HOURS",ENDOSCOPY_PROC_ROOMS
BEDS_DAYCASE_RENAL,All groups,"(CLASS_ELECTIVE AND CLASS_ZERO_LOS AND CLASS_RENAL) OR, (CLASS_REGULAR_DAY_NIGHT AND CLASS_RENAL)",None,FRM_SESSION_CAPACITY,DAYCASE_RENAL_ANNUAL_SESSION_CAPACITY_PER_BED,DAYCASE_RENAL_BEDS
BEDS_CRITICAL_CARE,adult,CLASS_AGE_ADULT,CRITICAL_CARE_ADULT_PERCENT_OVERNIGHT_BED_DAYS,FRM_BED_OCCUPANCY,"CRITICAL_CARE_ADULT_OCC, CRITICAL_CARE_ANNUAL_OPERATIONAL_DAYS",ADULT_CRITICAL_CARE_BEDS
BEDS_CRITICAL_CARE,paediatric,CLASS_AGE_PAEDIATRIC,CRITICAL_CARE_PAEDIATRIC_PERCENT_OVERNIGHT_BED_DAYS,FRM_BED_OCCUPANCY,"CRITICAL_CARE_PAEDIATRIC_OCC, CRITICAL_CARE_ANNUAL_OPERATIONAL_DAYS",PAEDIATRIC_CRITICAL_CARE_BEDS
