id,type,definition,logic,variables,parent,notes
CLASS_AE_MINOR,casemix,Minor attendances,"acuity IN 3,4,5 or acuity IS NULL / unknown",acuity,CLASS_AE,"Ambulatory, less severe conditions"
CLASS_AE_MAJOR,casemix,Major attendances,acuity = 2,acuity,CLASS_AE,Serious illnessess and injuries requiring trolley-based care
CLASS_AE_RESUS,casemix,Resus attendances,acuity = 1,acuity,CLASS_AE,Critically ill or life-threatening emergencies
CLASS_AGE_ADULT,age,Adult patients,age >= 18 years,age,,Age in years at attendance / admission
CLASS_AGE_CHILD,age,Children,age < 18 years,age,,Age in years at attendance / admission
CLASS_AE,scope,Core A&E attendances,aedepttype = 1,aedepttype,,Core A&E scope; consultant-led 24/7 with full resuscitation facilities; excludes type 2 mono-specialty units.
CLASS_DAYCASE,scope,Core daycase spells,admimeth starts with 1 AND classpat = 2,"admimeth, classpat",,Core daycase spells
CLASS_MEDICAL,specialty,Medical specialties,tretspef IN medical specialties - see daycase_tretspef_mapping.xlsx file,tretspef,,Medical treatment specialties
CLASS_SURGICAL,specialty,Surgical specialties,tretspef IN surgical specialties - see daycase_tretspef_mapping.xlsx file,tretspef,,Surgical treatment specialties
CLASS_ENDOSCOPY,procedures,Endoscopy procedures,"primaryprocedure IN G14,G15,G16,G17,G18,G19,G20 (Oesophagoscopy); G42,G43,G44,G45,G46 (OGD); G54,G55 (Duodenoscopy); G64,G65 (Jejunoscopy); G79,G80 (Ileoscopy); H23,H24,H25,H26,H27,H28,H37,H69,H70,H71 (Sigmoidoscopy); J38,J39,J40,J41,J42,J43,J44,J45 (ERCP); H20,H21,H22,H68 (Colonoscopy); E48,E49,E50,E51 (Bronchoscopy);",primaryprocedure,,Endoscopy procedures
CLASS_AGE_NEONATAL,age,Neonate or newborn,age < 29 days,age,,Age in years at attendance / admission
CLASS_AGE_PAEDIATRIC,age,Children (excl. neonates),age >= 29 days AND age < 18 years,age,,Age in years at attendance / admission
CLASS_WELL_BABIES,,Birth episodes,,,,Birth episodes for healthy or well babies
CLASS_CRITICAL_CARE,scope,,,,,
CLASS_ELECTIVE,admission_type,Elective admissions,admimeth LIKE 1* AND classpat = 1,admimeth,,
CLASS_REGULAR_DAY_NIGHT,admission_type,Regular day/night admissions,"classpat IN 3, 4",classpat,,"Patients admitted for a planned series of treatments e.g., renal dialysis"
CLASS_RENAL,specialty,Renal medicine specialty,tretspef = 361,tretspef,,Renal medicine specialty incl. dialysis treatment
CLASS_ZERO_LOS,segmentation,Zero day length-of-stay spells,speldur = 0,speldur,,
CLASS_NON_ELECTIVE,admission_type,Non-elective admissions,admimeth LIKE 2* AND classpat = 1,"admimeth, classpat",,
CLASS_HAS_PROCEDURE,segmentation,Spell with recorded procedure,has_procedure = 1,has_procedure,,
CLASS_CARDIAC_CATH,procedures,Cardiac catheter-based procedures,primaryprocedure IN K63 (Contrast radiology of heart); K75 (Angioplasty); K60 (Cardiac pacemaker); K62 (Therapeutic transluminal operations on heart); K59 (Cardioverter defibrillator introduced through the vein); K57 (Other therapeutic transluminal operations on heart); K73 (Other cardiac pacemaker system through vein); K49 (Transluminal balloon angioplasty);,primaryprocedure,,
CLASS_CARDIOLOGY,specialty,Cardiology or paediatric cardiology specialties,tretspef IN ...,tretspef,,
CLASS_INT_RADIOLOGY,specialty,Interventional radiology or paediatric interventional radiology,"tretspef IN 811, 280",tretspef,,
CLASS_OP_ATTEND,scope,,"atentype IN 1, 2",atentype,,
CLASS_OP_FACE_TO_FACE,attendance_type,"atentype NOT IN 21, 22",,,CLASS_OP_ATTEND,
CLASS_OP_FIRST,attendance_type,"atentype IN 1, 21",,,CLASS_OP_ATTEND,
CLASS_OP_FOLLOW_UP,attendance_type,"atentype NOT IN 1, 21",,,CLASS_OP_ATTEND,
CLASS_OP_VIRTUAL,attendance_type,"atentype IN 21, 22",,,CLASS_OP_ATTEND,
CLASS_HAEM_ONC,specialty,Haematology and oncology specialties,"tretspef IN 253, 303, 260, 370, 800",tretspef,,Haematology and oncology specialties incl. SACT therapies (chemotherapy and immunotherapy) and blood transfusions.
CLASS_MATERNITY,scope,Maternity admissions,"admimeth starts with a 3 OR tretspef is 501 or 560; AND sex is ""2""; AND age is between 13 and 55","tretspef, admimeth, sex",,See NHP definition of maternity activity at https://connect.strategyunitwm.nhs.uk/nhp/project_information/data_extraction/inpatients.html#group
CLASS_NO_BIRTH_EVENT,,No birth event recorded,,,CLASS_MATERNITY,
CLASS_BIRTH_EVENT,,Birth event recorded,,,CLASS_MATERNITY,
CLASS_BIRTH_NORMAL,segmentation,R24 normal delivery,,,CLASS_BIRTH_EVENT,
CLASS_BIRTH_ASSISTED,segmentation,R19 breech extraction or R20 other breech or R21 forceps cephalic or R22 vacuum or R23 cephalic vaginal w. abnormal present. head,,,CLASS_BIRTH_EVENT,
CLASS_BIRTH_ELECTIVE_CSECTION,segmentation,R17 elective caesarean,,,CLASS_BIRTH_EVENT,
CLASS_BIRTH_NON_ELECTIVE_CSECTION,segmentation,R18 other caesarean,,,CLASS_BIRTH_EVENT,
CLASS_NON_ZERO_LOS,segmentation,Spells with an overnight stay,speldur > 0,speldur,,
CLASS_SDEC,scope,SDEC (Same Day Emergency Care) attendances,aedepttype = 5,aedepttype,,See ongoing issue on SDEC classification: https://github.com/The-Strategy-Unit/open-plan-docs/issues/18
