Functional Area ID,Conversion Archetype,Operational Constraint,Primary Workload Object,Output Type
BAYS_AE,flow-space occupancy,concurrent occupancy over operational periods,occupancy_hours,bays
BEDS_AE,flow-space occupancy,concurrent occupancy over operational periods,occupancy_hours,beds
BEDS_CRITICAL_CARE,bed occupancy,continuous occupancy over 24-hour operational periods,critical_care_bed_days,beds
BEDS_DAYCASE_ENDOSCOPY_RECOVERY,recovery occupancy,temporary occupancy with intra-day turnover,occupancy_hours,beds
BEDS_DAYCASE_RECOVERY,recovery occupancy,temporary occupancy with intra-day turnover,occupancy_hours,beds
BEDS_DAYCASE_RENAL,session capacity,treatment session throughput per bed per operational day,treatment_sessions,beds
BEDS_INPATIENT_ASSESSMENT,bed occupancy,continuous occupancy over 24-hour operational periods,assessment_bed_days,beds
BEDS_INPATIENT_WARD,bed occupancy,continuous occupancy over 24-hour operational periods,ward_bed_days,beds
BEDS_MATERNITY_ASSESSMENT,recovery occupancy,temporary occupancy with intra-day turnover,occupancy_hours,beds
BEDS_MATERNITY_WARD,bed occupancy,continuous occupancy over 24-hour operational periods,ward_bed_days,beds
LABS_CARDIAC_CATH_PROC,time utilisation,schedulable procedural operating time,procedure_hours,laboratories
ROOMS_ENDOSCOPY_PROC,time utilisation,schedulable procedural operating time,procedure_hours,rooms
ROOMS_INT_RADIOLOGY_PROC,time utilisation,schedulable procedural operating time,procedure_hours,rooms
ROOMS_MATERNITY_BIRTH,bed occupancy,continuous occupancy over 24-hour operational periods,birth_room_bed_days,rooms
ROOMS_OP_CONSULT,appointment utilisation,schedulable clinic consultation time,consultation_hours,rooms
ROOMS_OP_PROC,appointment utilisation,schedulable procedure room time,procedure_hours,rooms
ROOMS_OP_VIRTUAL_CONSULT,appointment utilisation,schedulable clinic consultation time,consultation_hours,rooms
SPACES_HAEM_ONC,treatment-time utilisation,schedulable treatment-space time,treatment_hours,spaces
SPACES_SDEC,flow-space occupancy,concurrent occupancy over operational periods,occupancy_hours,spaces
THEATRES_DAYCASE_PROC,time utilisation,schedulable procedural operating time,procedure_hours,theatres
THEATRES_INPATIENT_PROC,time utilisation,schedulable procedural operating time,procedure_hours,theatres
THEATRES_OBSTETRIC_PROC,time utilisation,schedulable procedural operating time,procedure_hours,theatres
